a5_infiltration_rate,b2_ahu_pressure,b10_airloophvac,d1_htgsp_office,d2_htgsp_office_st,e1_natural_ventilation_rate
0.000194,334.983132,0.752957,18.048279,14.011416,0.037625
0.000182,430.793131,0.812986,23.220612,15.0885,0.15041
0.000216,307.437819,0.876992,20.953039,12.473237,0.309166
0.000197,409.770693,0.742415,21.048267,16.227683,0.238274
0.000204,405.835472,0.953087,21.205502,15.184219,0.52627
0.000241,371.242843,0.76864,22.563515,12.893344,0.475512
0.000265,433.351279,0.851507,20.908461,13.707327,0.061313
0.000176,418.899857,0.949198,19.334031,17.239565,0.406065
0.000208,438.894298,0.894465,18.172715,15.029407,0.797781
0.000172,318.119347,0.750399,19.427625,15.285729,0.764182
0.00026,382.267545,0.867528,19.647452,12.536033,0.429968
0.000219,313.768855,0.81906,22.721367,13.649041,0.590696
0.000244,303.305579,0.7884,22.171121,12.55784,0.735841
0.000251,395.085972,0.815604,23.767354,17.844622,0.459813
0.000185,309.260073,0.754519,19.685943,17.797079,0.018631
0.000237,437.381287,0.869736,19.78271,14.434055,0.130741
0.000246,390.042982,0.778281,20.719425,15.806259,0.103075
0.000263,426.897838,0.829938,20.306584,15.475765,0.479674
0.000261,329.875992,0.85641,23.614686,13.90724,0.846129
0.000203,393.895152,0.901985,22.437053,16.532814,0.075631
0.000257,328.998556,0.764127,20.613497,14.556604,0.781515
0.000231,336.849026,0.88216,23.103449,17.889473,0.817327
0.000187,379.369637,0.807937,23.377205,12.127372,0.612221
0.000173,366.310137,0.876536,23.716275,13.139192,0.827134
0.000232,358.677143,0.782004,21.335689,17.138918,0.835226
0.000235,423.295426,0.805201,18.677192,14.895294,0.644521
0.00021,349.986033,0.997015,19.994694,17.302955,0.153678
0.000217,389.082508,0.992046,22.626872,14.77335,0.229469
0.000207,305.23707,0.803865,18.866169,16.295359,0.251418
0.000243,398.316768,0.745704,22.017415,13.250987,0.861773
0.000213,401.790229,0.950762,22.944251,17.039306,0.269263
0.000181,332.736031,0.756895,21.773845,17.443357,0.285988
0.000161,407.795351,0.920199,18.981051,13.764148,0.76547
0.0002,369.903793,0.74137,18.303515,17.078568,0.602344
0.000247,362.909728,0.839426,20.493089,15.343395,0.84123
0.000186,434.971903,0.800955,20.114419,14.043906,0.01097
0.000173,354.804141,0.844485,22.037972,14.147669,0.421039
0.000247,320.979453,0.974437,18.382602,14.347473,0.531639
0.000258,313.440872,0.861139,21.265626,13.854061,0.32838
0.000224,344.02907,0.858929,23.034151,14.163942,0.648069
0.000238,392.514081,0.986628,18.508142,15.931824,0.083982
0.000203,443.18701,0.739372,21.833944,12.358631,0.623742
0.000163,341.418813,0.843125,23.517333,15.727187,0.387469
0.000167,301.857928,0.798165,20.565756,14.732063,0.373064
0.000259,384.987936,0.771068,18.228422,13.490801,0.881206
0.000216,430.427604,0.938283,23.457806,12.049981,0.581102
0.000188,331.74396,0.809764,22.816359,12.093892,0.095197
0.00017,442.135802,0.824675,20.64531,15.126871,0.348052
0.000221,307.74486,0.837213,22.765475,13.317014,0.321599
0.000201,353.233238,0.886515,21.856512,12.365756,0.546462
0.000197,326.26483,0.956737,23.921162,15.51888,0.893074
0.000227,446.085646,0.94275,18.450048,13.520787,0.788829
0.000212,374.954913,0.959079,20.784271,16.023487,0.293885
0.000189,401.313476,0.760524,19.276051,14.263744,0.71594
0.000226,340.682118,0.923686,23.176428,16.657969,0.709256
0.000223,417.132666,0.94446,22.327939,14.625229,0.72873
0.000166,395.678277,0.786903,23.535951,16.962997,0.494459
0.000249,311.90212,0.724534,19.150443,16.132771,0.339062
0.000257,411.876553,0.871991,20.852487,16.69039,0.379241
0.000256,322.673141,0.984889,19.586969,14.959035,0.740698
0.000202,377.097313,0.846021,19.558058,16.4158,0.749539
0.000242,380.892664,0.998293,19.950003,15.40205,0.064923
0.000268,399.145342,0.934731,20.398253,17.393353,0.298633
0.000227,428.304197,0.884677,18.818478,17.558323,0.570601
0.000253,304.520731,0.925135,19.828376,14.833891,0.513172
0.000192,411.324563,0.965042,21.424736,14.68177,0.803382
0.000169,325.118437,0.779057,23.966282,12.781203,0.404045
0.000184,344.359998,0.721723,22.518846,16.873831,0.358294
0.000194,364.629844,0.793343,22.209834,17.460215,0.25431
0.000266,376.090687,0.725992,19.230966,14.518099,0.047896
0.000211,420.285358,0.823502,18.083573,16.479942,0.205126
0.000249,445.331717,0.911251,23.86708,15.879649,0.207291
0.000238,387.079479,0.961819,18.588767,17.176311,0.687387
0.000215,373.387647,0.940403,21.662503,17.976459,0.270355
0.000251,385.613776,0.913787,21.947286,17.678704,0.671951
0.000209,346.22837,0.976595,23.041091,12.702068,0.164991
0.00019,348.338407,0.833023,21.56331,16.598669,0.008939
0.000162,351.838238,0.908789,22.912289,12.941236,0.657289
0.00023,415.612035,0.765876,19.459126,17.631668,0.184592
0.000168,360.464656,0.930989,18.633468,17.703591,0.219685
0.000268,440.204139,0.892822,21.142694,13.059879,0.441961
0.000178,356.358935,0.888548,18.916175,13.414805,0.63877
0.000219,317.700421,0.828275,19.130147,13.175058,0.177899
0.00024,320.299993,0.897036,22.298477,16.792062,0.364124
0.000191,339.043732,0.729216,23.301119,16.846792,0.867206
0.000179,407.29334,0.989636,18.298663,15.604961,0.511013
0.000234,423.702632,0.731587,20.074189,16.154282,0.889383
0.000182,365.473026,0.967331,19.910402,13.323203,0.032947
0.000178,413.401969,0.775187,21.10589,13.614482,0.142541
0.000254,424.906338,0.790421,19.0776,16.339684,0.195561
0.000165,368.468058,0.928773,20.225905,15.703849,0.121541
0.000233,316.094211,0.852464,21.505014,14.335613,0.558011
0.000163,382.560959,0.90504,21.65316,13.002585,0.68034
0.000269,421.756973,0.865381,21.412131,12.738906,0.54941
0.000222,403.710954,0.73569,22.493726,15.574561,0.501983
0.000264,435.434273,0.918343,23.671952,12.646513,0.112397
0.000195,326.987933,0.90474,22.095804,13.954419,0.45817
0.000206,350.52188,0.971805,20.169473,16.010799,0.432571
0.000174,359.342477,0.982766,18.761165,12.273794,0.695408
0.000229,338.23429,0.978094,20.4334,12.221476,0.610124
